Event,Line,IsPlayer,Dialogue,Choice1,NextD1,Choice2,NextD2
1000,0,TRUE,안녕 혹시 내가 뭘 찾고있는데..,,,,
1000,1,FALSE,아아 안되는데..,,,,
1000,1,TRUE,저기..,,,,
1000,2,FALSE,아아.. 이대로면.. 아아 정말 큰일이 날텐데..,,,,
1000,3,FALSE,지나가던 수룡이가 도와준다면 정말정말 좋을텐데..!,,,,
1000,4,FALSE,아아! 그러면 정말 좋을텐데..,,,,
1000,5,TRUE,(도와주기 전까진 내 말을 듣지 않을 것 같다.),도와줄게,1001,싫어,1002
1001,0,TRUE,내가 도울 수 있는 일이라면 도와줄게. 대신 내 질문에 대답해줘.,,,,
1001,1,FALSE,당연하지! 정말 고마워~,,,,
1001,2,FALSE,뭐냐면.. 사실 나는 모르고있었는데 오늘까지 제출인 과제가 있더라고..,,,,
1001,3,FALSE,성신관에 먼저 나를 도우러 와준 수룡이들이 있는데 그 애들을 도와서 과제를 빨리 끝내줘~,,,,
1001,4,FALSE,응… (이래도 되는걸까..),,,,
1002,0,TRUE,"미안, 아무것도 아니야.",,,,
1002,1,FALSE,아아.. 그 동그란게 자꾸 눈앞에 아른거려서.. 아아..,,,,
1002,2,TRUE,(뭔가를 알고있는 건가?),,,,
2000,0,FALSE,으으..,,,,
3000,0,FALSE,하아..,,,,
1100,0,FALSE,고마워~ 다른 수룡이들을 도와주면 돼.,,,,
2100,0,FALSE,"으으, 한 문제만 더 풀면 되는데 전혀 모르겠어..",,,,
2100,1,FALSE,뭐? 너도 컴공수룡이의 부탁을 듣고 왔다고?,,,,
2100,2,TRUE,으응….. 문제좀 보여줄래?,,,,
3100,0,FALSE,내가 어쩌다 이러고있지이..,,,,
3100,1,FALSE,"헉, 도와주시는건가요?",,,,
3100,2,TRUE,"응응, 나한테 맡겨.",,,,
2110,0,FALSE,"와, 정말 풀어냈잖아? 너 정말 똑똑하다!",,,,
2120,0,FALSE,"엥, 이렇게 푸는 게 아닌 것 같은데.. 다시 해볼래?",,,,
2200,0,FALSE,난 이제 집에 가야겠어. 고마워~,,,,
3110,0,FALSE,"와아, 그것만은 절대 답이 아닐거라고 생각했는데",,,,
3110,1,FALSE,정말 대단해요!,,,,
3110,2,TRUE,쑥스럽네~,,,,
3120,0,FALSE,답이 조금 이상한것같아요..,,,,
3200,0,FALSE,고마워요~,,,,
1200,0,FALSE,방금 다른 수룡이들한테 연락을 받았어,,,,
1200,1,FALSE,순식간에 어려운 문제들을 다 풀어줬다며?,,,,
1200,2,FALSE,덕분에 늦지 않게 과제제출을 할 수 있겠어. 야호~,,,,
1300,0,FALSE,…,,,,
1300,1,FALSE,"뭐야, 정전인가?",,,,
1300,2,FALSE,안돼! 인터넷이 끊겼잖아? 아아 안되는데..,,,,
1400,0,FALSE,이럴줄 알았으면 데이터좀 아껴쓸걸.. 어떡하지,,,,
4000,0,FALSE,학생! 바쁘니까 말걸지 말아요~,,,,
2400,0,FALSE,오늘 공사 한다는 건 알고있었는데 정전될 줄은 몰랐네..,,,,
3400,0,FALSE,으아 무슨일이야~,,,,
4400,0,FALSE,어라 뭘 잘못건들였나 ,,,,
4400,1,FALSE,차단기가 다 내려가버렸잖아? 나는 이쪽은 잘 모르는데..,,,,
4400,2,FALSE,"학생, 혹시 이것좀 봐줄 수 있을까?",그럴게요,4401,싫어요,4402
4402,0,TRUE,저도 잘 모르겠어요..,,,,
4402,1,FALSE,내가 좀 무리한 부탁을 했지? 학생 미안해~,,,,
4401,0,TRUE,제가 한 번 해볼게요!,,,,
4401,1,FALSE,정말 고맙구나!,,,,
4401,2,FALSE,학생에게 말해줘야할 것이 있어.,,,,
4401,3,FALSE,사실 내 옆의 이건 단순히 학교 이름을 적어둔 장식품이 아니란다.,,,,
4401,4,FALSE,이건 두꺼비집이야.,,,,
4401,5,FALSE,각각의 문자에 달린 레버를 알맞게 달리면 불이 켜지지!,,,,
4401,6,TRUE,(이게  무슨 소리지…),,,,
4401,7,FALSE,흠흠.. 아무튼 나는 해석하지 못했지만 숫자가 적힌 힌트 쪽지를 가지고 있어.,,,,
4401,8,FALSE,레버는 0과 1의 값을 가질 수 있고 일단 내가 모든 레버를 0에 맞춰뒀어.,,,,
4401,9,FALSE,레버를 알맞게 조정하면 자동으로 불이 켜질거야. 그럼 잘부탁해!,,,,
2500,0,FALSE,오. 벌써 고쳐졌나봐!,,,,
3500,0,FALSE,깜짝 놀랐네요..,,,,
4500,0,FALSE,정말 성공할 줄은 몰랐는데..,,,,
4500,1,FALSE,학생 덕분에 퇴근할 수 있겠어. 고마워 학생~,,,,
1500,0,FALSE,정전이 빨리 끝나서 다행이다.. 제출 마감까지 2초 남기고 겨우 제출했어..,,,,
1500,1,FALSE,네가 없었다면 난 제 시간 내에 해낼 수 없었을거야..,,,,
1500,2,FALSE,고마운 너에게 선물을 줄게!,,,,
1500,3,FALSE,(주섬주섬),,,,
1500,4,TRUE,"아니, 그보다 너 혹시 수정구슬 못봤어?",,,,
1500,5,FRUE,역시 그걸 찾고있었구나? 아까 수상하게 생긴 아이가 난향관쪽으로 들고가는 것을 봤어.,,,,
1500,6,TRUE,뭐? 어떻게 생겼는지 기억해?,,,,
